PERMNO,date,RET
3,2021-03-31,0.00734
3,2021-04-30,0.076218
3,2021-05-31,-0.050434
3,2021-06-30,0.099109
3,2021-07-31,0.064982
3,2021-08-31,0.042438
3,2021-09-30,-0.068037
3,2021-10-31,0.058657
3,2021-11-30,0.10494
3,2021-12-31,0.074229
4,1991-12-31,0.130112
4,1992-01-31,0.144737
4,1992-02-29,-0.066839
4,1992-03-31,-0.015432
4,1992-04-30,0.112853
4,1992-05-31,0.058592
4,1992-06-30,-0.018667
4,1992-07-31,-0.046196
4,1992-08-31,-0.02906
4,1992-09-30,0.044118
4,1992-10-31,0.033803
4,1992-11-30,0.0703
4,1992-12-31,-0.005102
4,1993-01-31,-0.002564
4,1993-02-28,0.043188
4,1993-03-31,0.044444
4,1993-04-30,-0.089835
4,1993-05-31,0.033766
4,1993-06-30,-0.010402
4,1993-07-31,0.048346
4,1993-08-31,0.045777
4,1993-09-30,-0.034884
4,1993-10-31,0.110843
4,1993-11-30,0.019219
4,1993-12-31,-0.027719
4,1994-01-31,0.065789
4,1994-02-28,-0.000288
4,1994-03-31,-0.061856
4,1994-04-30,0.054945
4,1994-05-31,0.033333
4,1994-06-30,-0.066613
4,1994-07-31,-0.060606
4,1994-08-31,0.043687
